part q_max time 
100.009 15.9879 85.1783
100.009 6.95072 83.6527
100.028 12.3766 60.0171
100.016 1 70.3029
0.03 12.803 120
31.709 6.72022 120
100.018 1 65.3721
100.02 8.22673 63.7823
100.005 9.46386 60.2572
100.019 10.0323 65.73
87.401 1 120
0 13.8964 120
100.006 17.7184 68.8823
0.002 4.22901 120
100.025 9.00338 69.0482
100.005 11.3302 65.7026
24.519 12.665 120
100.003 18.6138 106.022
0.012 10.7965 120
0.361 19.7152 120
100.004 10.5723 60.3509
100.011 8.38232 60.3467
100.018 15.5538 60.7185
0.301 4.14384 120
100.003 13.8885 90.5482
100.017 17.5204 82.7312
100.008 17.8251 60.0925
0.007 9.45375 120
31.023 8.63017 120
100.019 16.3175 71.0493
100.019 14.1337 62.6089
0.107 11.1834 120
84.989 13.8259 120
0.323 1 120
100.005 18.0738 89.2893
29.564 2.35071 120
87.197 1 120
0.078 11.416 120
100.005 5.36231 67.9932
0.28 1 120
100.008 15.7453 60.1158
96.688 14.6008 120
100.014 8.26526 63.4238
0 8.95885 120
100.014 10.6774 91.8725
100.018 1 60.3724
33.875 5.70741 120
100.004 23.4498 60.2674
100.013 6.91814 60.0149
0 17.7793 120
0 14.3916 120
0.108 17.088 120
100.004 12.339 67.4252
0.033 8.31169 120
0.015 13.9708 120
0.019 15.2194 120
17.821 1 120
100.011 15.6261 60.0104
60.426 2.77731 120
100.003 1 60.0024
100.003 11.4129 72.5116
100.026 1 60.0569
62.131 18.2565 120
100.002 20.1781 71.1533
31.479 9.16731 120
62.412 11.6434 120
100.017 12.5846 61.4707
100.017 11.5124 61.3435
100.018 5.17758 62.1308
100.023 10.305 61.2062
100.008 9.82188 60.3478
21.852 10.3199 120
100.019 12.1733 73.7825
100.006 2.38887 73.7637
100.014 1 60.9521
0.008 11.3022 120
100.02 5.35329 60.7567
100.022 18.0807 60.909
100.006 12.2744 73.3831
0 10.7276 120
100.002 11.1211 65.7525
100.016 5.54125 63.4713
0 11.0801 120
100.025 14.5188 60.9914
64.271 5.86324 120
100.004 7.4195 60.0531
49.235 9.73841 120
100.007 7.33846 63.2381
100.017 1 60.6361
100.01 6.41028 60.6319
0.112 2.51934 120
100.003 13.0397 64.6534
0.301 15.9156 120
100.005 12.1004 60.1036
8.882 1 120
100.014 8.56689 60.713
20.761 9.97284 120
21.803 13.7272 120
11.118 12.099 120
100.004 1.48386 66.4273
100.028 18.3938 60.1206
100.024 9.67091 60.0662
100.006 1 60.0054
1.206 1.86911 120
8.77 5.3919 120
6.643 4.2611 120
13.026 18.3014 120
1.953 9.52552 120
1.318 10.5678 120
8.41 16.917 120
14.539 5.48834 120
4.881 13.6968 120
100.019 3.32094 64.1664
14.586 9.48163 120
6.088 30.2773 120
3.933 13.4045 120
4.694 9.5592 120
14.478 23.0654 120
100.003 1.36041 71.7164
4.917 12.4855 120
100.017 14.1666 60.0811
100.006 10.5326 65.6903
100.019 13.2476 63.3228
100.01 15.7356 64.228
100.015 8.31553 65.3881
100.005 10.4023 83.4614
100.024 9.4479 63.8968
100.004 2.86931 60.0237
5.945 8.37281 120
100.019 3.25062 66.4796
100.025 13.7689 60.0176
14.791 14.7128 120
20.57 10.0103 120
2.953 10.1564 120
13.751 14.4631 120
100.017 17.7222 65.4045
100.013 3.50503 70.3109
5.555 3.99751 120
19.787 23.1813 120
3.146 1.10835 120
18.836 14.255 120
100.005 2.59166 79.1304
18.836 6.49631 120
9.981 16.1387 120
100.025 17.5233 66.6703
7.55 1 120
100.007 21.7983 60.0555
11.334 7.53633 120
3.548 9.51509 120
100.022 1.20098 60.0137
3.515 9.18514 120
2.867 5.22976 120
100.008 1.65266 60.0053
100.004 7.92074 71.2395
28.982 4.39397 120
100.015 6.37581 63.9635
100.011 6.10945 86.925
100.002 3.20066 69.0396
4.187 1 120
44.499 2.46677 120
100.01 1 98.3843
4.187 7.66862 120
45.183 24.6541 120
100.007 11.0125 69.2365
23.377 8.77263 120
1.03 17.5626 120
100.02 1.28257 70.1468
1.135 1 120
0.694 7.65457 120
100.005 27.7234 68.3298
1.2 6.00585 120
0.386 12.6055 120
2.186 1 120
100.015 11.8106 85.6075
59.421 6.27482 120
100.003 13.4464 104.869
22.241 5.70745 120
100.032 12.769 80.4628
15.418 13.6702 120
32.518 3.39839 120
100.023 1 78.2655
100.027 11.8367 80.0087
12.842 9.62412 120
22.171 12.6029 120
12.13 17.7142 120
75.506 19.2751 120
75.782 13.4585 120
0 13.0587 120
0 11.2267 120
0 6.36234 120
37.178 28.1397 120
11.97 18.9611 120
0 17.9166 120
21.363 6.53091 120
0.222 12.8897 120
0.107 10.5369 120
26.151 9.85461 120
0.056 1 120
55.567 12.3289 120
6.48 2.60481 120
0.815 1 120
0.793 10.8828 120
0.383 14.0507 120
0.336 13.7349 120
0.341 8.46881 120
0.147 15.2022 120
38.992 5.26355 120
1.056 10.3528 120
0.359 11.1856 120
0.714 8.54589 120
35.045 11.541 120
35.049 15.1593 120
0.711 7.45749 120
2.463 8.25436 120
12.673 4.7274 120
1.655 9.91124 120
0.835 14.4032 120
36.227 17.7437 120
2.62 8.85451 120
2.701 8.89659 120
