part q_max time 
100 15.7794 1.40204
100 17.7184 0
100 13.7272 2.13573
100 9.00338 1.36214
100 12.3766 0.144452
100 8.22673 0
100 5.35062 116.011
100 10.0323 0
100 12.099 5.48793
100 1 36.2766
100 11.3302 0
100 9.46386 0.710412
100 9.97284 8.32143
100 16.3175 5.91243
100 5.36231 0
100 10.5723 0
100 16.917 6.59487
100 8.38232 0
100 14.1337 0
100 5.48834 7.28684
100 9.48163 5.78014
100 17.8251 0
100 15.5538 4.54385
100 8.26526 0
100 12.339 2.51993
100 15.7453 0.355436
100 23.0654 10.2601
100 1 25.5379
100 11.4129 0
100 1 1.32374
100 20.1781 0
100 6.91814 0
100 23.4498 2.52874
100 10.0103 0
100 12.1733 0
100 2.38887 0
100 14.7128 6.01159
100 15.6261 0
100 18.3014 28.9721
100 5.3919 29.3181
100 12.2744 0
100 1 0
100 1 0
100 14.255 5.63619
100 12.5846 0
100 6.49631 6.10778
100 11.5124 0
100 5.17758 0
100 2.46677 2.40937
100 10.305 0
100 11.1211 0
100 13.6968 33.339
100 4.2611 39.3984
100 9.82188 0
100 1 0
100 5.35329 0
100 13.4045 33.8826
100 18.0807 0
100 24.6541 5.74369
100 5.54125 3.01334
100 1 0.748126
100 7.33846 0
100 14.5188 1.0241
100 6.27482 0.619046
100 13.0397 0.733777
100 7.4195 0
100 1 0
100 1.48386 0.357603
100 12.4855 40.1995
100 1 13.812
100 6.41028 0
100 10.4023 1.67666
100 12.1004 0
100 7.66862 16.4966
100 1 11.0098
100 5.22976 23.6556
100 6.00585 12.6208
100 9.67091 0
100 1.36041 0
100 1 0
100 1 0
100 18.3938 5.74028
100 13.4464 0
100 3.32094 0
100 19.2751 7.1815
100 10.5326 0
100 8.31553 0
100 13.4585 9.27806
100 6.10945 0
100 8.56689 15.0165
100 15.7356 0
100 28.1397 4.2792
100 13.2476 0
100 2.59166 0
100 12.8897 0
100 14.1666 2.97159
100 10.5369 0.102572
100 9.85461 1.10118
100 9.4479 0
100 3.25062 0
100 12.3289 3.55843
100 3.50503 0
100 1 0.251235
100 2.86931 0
100 10.8828 2.45112
100 13.7689 0
100 12.6029 27.6058
100 3.39839 31.6359
100 3.20066 0
100 5.26355 6.02336
100 12.769 0
100 11.541 3.66335
100 11.0125 0
100 17.5233 7.44157
100 8.25436 1.94967
100 21.7983 0
100 15.1593 3.9009
100 6.37581 0
100 1.28257 0
100 1.20098 0
100 4.7274 2.34079
100 23.1813 64.7215
100 11.8367 0
100 1.65266 0
100 1 0
100 7.53633 63.6026
100 13.6702 44.3522
100 6.53091 22.6715
100 27.7234 0
28.791 9.91124 120
0 14.4032 120
0 8.89659 120
58.877 10.3528 120
0 8.85451 120
16.284 17.7222 120
0 7.92074 120
0 11.1856 120
0 8.54589 120
0 7.45749 120
0 11.8106 120
0 15.2022 120
71.403 17.5626 120
0 7.65457 120
0 6.36234 120
0 11.2267 120
0 14.0507 120
0 12.6055 120
0 1 120
0 17.9166 120
0 13.7349 120
0 13.0587 120
0 8.46881 120
54.558 8.77263 120
0 17.7142 120
0 18.9611 120
0 16.1387 120
0 17.7437 120
0 14.4631 120
0 4.39397 120
0 9.62412 120
82.626 8.37281 120
0 3.99751 120
0 1 120
0 5.70745 120
16.159 30.2773 120
0 9.5592 120
0 9.52552 120
0 2.60481 120
0 10.1564 120
0 1.10835 120
0 9.51509 120
0 15.9156 120
0 10.5678 120
0 1.86911 120
0 9.18514 120
0 11.0801 120
0 11.3022 120
0 10.7276 120
61.603 9.07431 120
0 19.7152 120
0 4.14384 120
0 8.95885 120
0 11.1834 120
0 13.8964 120
0 11.416 120
99.395 15.5535 120
0 13.3438 120
0 10.7965 120
21.647 28.4133 120
0 11.0579 120
62.778 12.8932 120
0 12.803 120
0 9.54005 120
0 12.1549 120
0 8.39315 120
0 1 120
0 10.2249 120
0 1 120
0 16.2514 120
67.245 7.95936 120
0 12.7791 120
0 4.22901 120
0 14.1146 120
0 11.4873 120
0 7.37417 120
93.095 12.3351 120
0 12.0048 120
0 14.6914 120
0 8.0275 120
0 17.8007 120
0 7.9009 120
0 14.6617 120
0 15.2468 120
75.822 4.40956 120
0 6.71431 120
0 9.78508 120
0 14.9063 120
0 3.35237 120
0 10.4268 120
0 8.58302 120
0 5.1873 120
0 3.80482 120
0 4.98192 120
0 9.7643 120
0 7.89856 120
0 13.4248 120
0 14.9191 120
0 15.1685 120
0 11.102 120
